Job ID : 16765
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 00:42:11 CET

=== Study 1: RBM hidden units ===
  q=50 ...   Saved outputs/alpha_study/rbm_hidden_q50.png
  q=100 ...   Saved outputs/alpha_study/rbm_hidden_q100.png
  q=200 ...   Saved outputs/alpha_study/rbm_hidden_q200.png
  q=500 ...   Saved outputs/alpha_study/rbm_hidden_q500.png
  Summary saved.

=== Study 2: RBM epochs ===
  epochs=50 ...   Saved outputs/alpha_study/rbm_epochs_50.png
  epochs=100 ...   Saved outputs/alpha_study/rbm_epochs_100.png
  epochs=200 ...   Saved outputs/alpha_study/rbm_epochs_200.png
  epochs=500 ...   Saved outputs/alpha_study/rbm_epochs_500.png
  Summary saved.

=== Study 3: RBM number of classes ===
  1 class (A) ...   Saved outputs/alpha_study/rbm_classes_1.png
  3 classes (A,B,C) ...   Saved outputs/alpha_study/rbm_classes_3.png
  6 classes (A–F) ...   Saved outputs/alpha_study/rbm_classes_6.png
  10 classes (A–J) ...   Saved outputs/alpha_study/rbm_classes_10.png
  Summary saved.

=== Study 4: DBN depth ===
  1 RBM layer ... 
--- Training RBM layer 1/1 ---
Epoch 58/100 - MSE: 0.1081
Epoch 59/100 - MSE: 0.1068
Epoch 60/100 - MSE: 0.1050
Epoch 61/100 - MSE: 0.1038
Epoch 62/100 - MSE: 0.1026
Epoch 63/100 - MSE: 0.1013
Epoch 64/100 - MSE: 0.0999
Epoch 65/100 - MSE: 0.0991
Epoch 66/100 - MSE: 0.0976
Epoch 67/100 - MSE: 0.0963
Epoch 68/100 - MSE: 0.0955
Epoch 69/100 - MSE: 0.0943
Epoch 70/100 - MSE: 0.0934
Epoch 71/100 - MSE: 0.0922
Epoch 72/100 - MSE: 0.0912
Epoch 73/100 - MSE: 0.0899
Epoch 74/100 - MSE: 0.0889
Epoch 75/100 - MSE: 0.0879
Epoch 76/100 - MSE: 0.0871
Epoch 77/100 - MSE: 0.0860
Epoch 78/100 - MSE: 0.0851
Epoch 79/100 - MSE: 0.0841
Epoch 80/100 - MSE: 0.0832
Epoch 81/100 - MSE: 0.0823
Epoch 82/100 - MSE: 0.0815
Epoch 83/100 - MSE: 0.0802
Epoch 84/100 - MSE: 0.0797
Epoch 85/100 - MSE: 0.0787
Epoch 86/100 - MSE: 0.0779
Epoch 87/100 - MSE: 0.0771
Epoch 88/100 - MSE: 0.0760
Epoch 89/100 - MSE: 0.0753
Epoch 90/100 - MSE: 0.0746
Epoch 91/100 - MSE: 0.0738
Epoch 92/100 - MSE: 0.0730
Epoch 93/100 - MSE: 0.0722
Epoch 94/100 - MSE: 0.0714
Epoch 95/100 - MSE: 0.0706
Epoch 96/100 - MSE: 0.0698
Epoch 97/100 - MSE: 0.0692
Epoch 98/100 - MSE: 0.0684
Epoch 99/100 - MSE: 0.0678
Epoch 100/100 - MSE: 0.0669

--- Training RBM layer 2/2 ---
Epoch 1/100 - MSE: 0.1510
Epoch 2/100 - MSE: 0.1507
Epoch 3/100 - MSE: 0.1497
Epoch 4/100 - MSE: 0.1499
Epoch 5/100 - MSE: 0.1493
Epoch 6/100 - MSE: 0.1494
Epoch 7/100 - MSE: 0.1485
Epoch 8/100 - MSE: 0.1483
Epoch 9/100 - MSE: 0.1472
Epoch 10/100 - MSE: 0.1469
Epoch 11/100 - MSE: 0.1462
