Job ID : 16760
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : ven. 20 mars 2026 23:57:02 CET
PyTorch version: 2.9.1+cu128
CUDA available : True
CUDA device    : NVIDIA L40S
Using device: cuda
Train: torch.Size([60000, 784]), Test: torch.Size([10000, 784])

=== Fig 1: layers ===

Architecture: [784, 200, 200, 10]

[Pretraining DNN1]

--- Training RBM layer 1/2 ---
Epoch 105/200 - Cross-entropy: 0.0468
Epoch 106/200 - Cross-entropy: 0.0464
Epoch 107/200 - Cross-entropy: 0.0460
Epoch 108/200 - Cross-entropy: 0.0456
Epoch 109/200 - Cross-entropy: 0.0453
Epoch 110/200 - Cross-entropy: 0.0446
Epoch 111/200 - Cross-entropy: 0.0442
Epoch 112/200 - Cross-entropy: 0.0439
Epoch 113/200 - Cross-entropy: 0.0436
Epoch 114/200 - Cross-entropy: 0.0431
Epoch 115/200 - Cross-entropy: 0.0427
Epoch 116/200 - Cross-entropy: 0.0423
Epoch 117/200 - Cross-entropy: 0.0419
Epoch 118/200 - Cross-entropy: 0.0416
Epoch 119/200 - Cross-entropy: 0.0411
Epoch 120/200 - Cross-entropy: 0.0408
Epoch 121/200 - Cross-entropy: 0.0406
Epoch 122/200 - Cross-entropy: 0.0402
Epoch 123/200 - Cross-entropy: 0.0399
Epoch 124/200 - Cross-entropy: 0.0395
Epoch 125/200 - Cross-entropy: 0.0390
Epoch 126/200 - Cross-entropy: 0.0387
Epoch 127/200 - Cross-entropy: 0.0384
Epoch 128/200 - Cross-entropy: 0.0381
Epoch 129/200 - Cross-entropy: 0.0378
Epoch 130/200 - Cross-entropy: 0.0373
Epoch 131/200 - Cross-entropy: 0.0371
Epoch 132/200 - Cross-entropy: 0.0367
Epoch 133/200 - Cross-entropy: 0.0365
Epoch 134/200 - Cross-entropy: 0.0361
Epoch 135/200 - Cross-entropy: 0.0358
Epoch 136/200 - Cross-entropy: 0.0355
Epoch 137/200 - Cross-entropy: 0.0352
Epoch 138/200 - Cross-entropy: 0.0349
Epoch 139/200 - Cross-entropy: 0.0346
Epoch 140/200 - Cross-entropy: 0.0343
Epoch 141/200 - Cross-entropy: 0.0341
Epoch 142/200 - Cross-entropy: 0.0337
Epoch 143/200 - Cross-entropy: 0.0334
Epoch 144/200 - Cross-entropy: 0.0331
Epoch 145/200 - Cross-entropy: 0.0328
Epoch 146/200 - Cross-entropy: 0.0325
Epoch 147/200 - Cross-entropy: 0.0323
Epoch 148/200 - Cross-entropy: 0.0320
Epoch 149/200 - Cross-entropy: 0.0317
Epoch 150/200 - Cross-entropy: 0.0315
Epoch 151/200 - Cross-entropy: 0.0312
Epoch 152/200 - Cross-entropy: 0.0310
Epoch 153/200 - Cross-entropy: 0.0307
Epoch 154/200 - Cross-entropy: 0.0304
Epoch 155/200 - Cross-entropy: 0.0302
Epoch 156/200 - Cross-entropy: 0.0300
Epoch 157/200 - Cross-entropy: 0.0297
Epoch 158/200 - Cross-entropy: 0.0295
Epoch 159/200 - Cross-entropy: 0.0292
Epoch 160/200 - Cross-entropy: 0.0289
Epoch 161/200 - Cross-entropy: 0.0287
Epoch 162/200 - Cross-entropy: 0.0284
Epoch 163/200 - Cross-entropy: 0.0283
Epoch 164/200 - Cross-entropy: 0.0280
Epoch 165/200 - Cross-entropy: 0.0278
Epoch 166/200 - Cross-entropy: 0.0275
Epoch 167/200 - Cross-entropy: 0.0273
