Job ID : 16766
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 00:42:23 CET
Device: cuda
Loading MNIST...
  RBM/DBN training set: torch.Size([10000, 784])
  VAE training set:     torch.Size([60000, 784])

=== Training RBM ===
Epoch 50/100 - MSE: 0.0279
Epoch 51/100 - MSE: 0.0278
Epoch 52/100 - MSE: 0.0277
Epoch 53/100 - MSE: 0.0275
Epoch 54/100 - MSE: 0.0274
Epoch 55/100 - MSE: 0.0272
Epoch 56/100 - MSE: 0.0271
Epoch 57/100 - MSE: 0.0269
Epoch 58/100 - MSE: 0.0268
Epoch 59/100 - MSE: 0.0267
Epoch 60/100 - MSE: 0.0266
Epoch 61/100 - MSE: 0.0265
Epoch 62/100 - MSE: 0.0263
Epoch 63/100 - MSE: 0.0262
Epoch 64/100 - MSE: 0.0262
Epoch 65/100 - MSE: 0.0259
Epoch 66/100 - MSE: 0.0259
Epoch 67/100 - MSE: 0.0257
Epoch 68/100 - MSE: 0.0257
Epoch 69/100 - MSE: 0.0255
Epoch 70/100 - MSE: 0.0255
Epoch 71/100 - MSE: 0.0254
Epoch 72/100 - MSE: 0.0252
Epoch 73/100 - MSE: 0.0250
Epoch 74/100 - MSE: 0.0251
Epoch 75/100 - MSE: 0.0251
Epoch 76/100 - MSE: 0.0250
Epoch 77/100 - MSE: 0.0247
Epoch 78/100 - MSE: 0.0248
Epoch 79/100 - MSE: 0.0246
Epoch 80/100 - MSE: 0.0246
Epoch 81/100 - MSE: 0.0245
Epoch 82/100 - MSE: 0.0243
Epoch 83/100 - MSE: 0.0245
Epoch 84/100 - MSE: 0.0243
Epoch 85/100 - MSE: 0.0240
Epoch 86/100 - MSE: 0.0242
Epoch 87/100 - MSE: 0.0239
Epoch 88/100 - MSE: 0.0239
Epoch 89/100 - MSE: 0.0241
Epoch 90/100 - MSE: 0.0238
Epoch 91/100 - MSE: 0.0236
Epoch 92/100 - MSE: 0.0237
Epoch 93/100 - MSE: 0.0236
Epoch 94/100 - MSE: 0.0238
