Job ID : 16768
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 01:26:16 CET
PyTorch version: 2.9.1+cu128
CUDA available : True
CUDA device    : NVIDIA L40S
Using device: cuda
Train: torch.Size([60000, 784]), Test: torch.Size([10000, 784])

=== Fig 1: layers ===

Architecture: [784, 200, 200, 10]

[Pretraining DNN1]

--- Training RBM layer 1/2 ---
Epoch 84/200 - Cross-entropy: 0.0574
Epoch 85/200 - Cross-entropy: 0.0569
Epoch 86/200 - Cross-entropy: 0.0564
Epoch 87/200 - Cross-entropy: 0.0558
Epoch 88/200 - Cross-entropy: 0.0552
Epoch 89/200 - Cross-entropy: 0.0549
Epoch 90/200 - Cross-entropy: 0.0544
Epoch 91/200 - Cross-entropy: 0.0536
Epoch 92/200 - Cross-entropy: 0.0531
Epoch 93/200 - Cross-entropy: 0.0526
Epoch 94/200 - Cross-entropy: 0.0521
Epoch 95/200 - Cross-entropy: 0.0515
Epoch 96/200 - Cross-entropy: 0.0510
Epoch 97/200 - Cross-entropy: 0.0506
Epoch 98/200 - Cross-entropy: 0.0501
Epoch 99/200 - Cross-entropy: 0.0496
Epoch 100/200 - Cross-entropy: 0.0492
Epoch 101/200 - Cross-entropy: 0.0487
Epoch 102/200 - Cross-entropy: 0.0484
Epoch 103/200 - Cross-entropy: 0.0477
Epoch 104/200 - Cross-entropy: 0.0474
Epoch 105/200 - Cross-entropy: 0.0470
Epoch 106/200 - Cross-entropy: 0.0466
Epoch 107/200 - Cross-entropy: 0.0460
Epoch 108/200 - Cross-entropy: 0.0457
Epoch 109/200 - Cross-entropy: 0.0452
Epoch 110/200 - Cross-entropy: 0.0448
Epoch 111/200 - Cross-entropy: 0.0443
Epoch 112/200 - Cross-entropy: 0.0439
Epoch 113/200 - Cross-entropy: 0.0436
Epoch 114/200 - Cross-entropy: 0.0432
Epoch 115/200 - Cross-entropy: 0.0428
Epoch 116/200 - Cross-entropy: 0.0425
Epoch 117/200 - Cross-entropy: 0.0420
Epoch 118/200 - Cross-entropy: 0.0417
Epoch 119/200 - Cross-entropy: 0.0412
Epoch 120/200 - Cross-entropy: 0.0409
Epoch 121/200 - Cross-entropy: 0.0406
Epoch 122/200 - Cross-entropy: 0.0402
Epoch 123/200 - Cross-entropy: 0.0399
Epoch 124/200 - Cross-entropy: 0.0395
Epoch 125/200 - Cross-entropy: 0.0391
Epoch 126/200 - Cross-entropy: 0.0388
Epoch 127/200 - Cross-entropy: 0.0384
Epoch 128/200 - Cross-entropy: 0.0381
Epoch 129/200 - Cross-entropy: 0.0378
Epoch 130/200 - Cross-entropy: 0.0376
Epoch 131/200 - Cross-entropy: 0.0371
Epoch 132/200 - Cross-entropy: 0.0368
Epoch 133/200 - Cross-entropy: 0.0365
Epoch 134/200 - Cross-entropy: 0.0362
Epoch 135/200 - Cross-entropy: 0.0358
Epoch 136/200 - Cross-entropy: 0.0355
Epoch 137/200 - Cross-entropy: 0.0352
Epoch 138/200 - Cross-entropy: 0.0349
Epoch 139/200 - Cross-entropy: 0.0346
Epoch 140/200 - Cross-entropy: 0.0344
Epoch 141/200 - Cross-entropy: 0.0341
Epoch 142/200 - Cross-entropy: 0.0337
Epoch 143/200 - Cross-entropy: 0.0334
Epoch 144/200 - Cross-entropy: 0.0332
Epoch 145/200 - Cross-entropy: 0.0330
Epoch 146/200 - Cross-entropy: 0.0327
Epoch 147/200 - Cross-entropy: 0.0323
Epoch 148/200 - Cross-entropy: 0.0321
Epoch 149/200 - Cross-entropy: 0.0318
Epoch 150/200 - Cross-entropy: 0.0316
Epoch 151/200 - Cross-entropy: 0.0313
Epoch 152/200 - Cross-entropy: 0.0311
Epoch 153/200 - Cross-entropy: 0.0308
Epoch 154/200 - Cross-entropy: 0.0306
Epoch 155/200 - Cross-entropy: 0.0303
Epoch 156/200 - Cross-entropy: 0.0300
Epoch 157/200 - Cross-entropy: 0.0298
Epoch 158/200 - Cross-entropy: 0.0295
Epoch 159/200 - Cross-entropy: 0.0293
Epoch 160/200 - Cross-entropy: 0.0291
Epoch 161/200 - Cross-entropy: 0.0288
Epoch 162/200 - Cross-entropy: 0.0286
Epoch 163/200 - Cross-entropy: 0.0284
Epoch 164/200 - Cross-entropy: 0.0281
Epoch 165/200 - Cross-entropy: 0.0279
Epoch 166/200 - Cross-entropy: 0.0277
Epoch 167/200 - Cross-entropy: 0.0275
Epoch 168/200 - Cross-entropy: 0.0273
Epoch 169/200 - Cross-entropy: 0.0271
Epoch 170/200 - Cross-entropy: 0.0268
Epoch 171/200 - Cross-entropy: 0.0266
Epoch 172/200 - Cross-entropy: 0.0264
Epoch 173/200 - Cross-entropy: 0.0262
Epoch 174/200 - Cross-entropy: 0.0260
Epoch 175/200 - Cross-entropy: 0.0258
Epoch 176/200 - Cross-entropy: 0.0256
Epoch 177/200 - Cross-entropy: 0.0254
Epoch 178/200 - Cross-entropy: 0.0252
Epoch 179/200 - Cross-entropy: 0.0250
Epoch 180/200 - Cross-entropy: 0.0248
Epoch 181/200 - Cross-entropy: 0.0246
Epoch 182/200 - Cross-entropy: 0.0244
Epoch 183/200 - Cross-entropy: 0.0242
Epoch 184/200 - Cross-entropy: 0.0240
Epoch 185/200 - Cross-entropy: 0.0239
Epoch 186/200 - Cross-entropy: 0.0236
Epoch 187/200 - Cross-entropy: 0.0235
Epoch 188/200 - Cross-entropy: 0.0233
Epoch 189/200 - Cross-entropy: 0.0231
Epoch 190/200 - Cross-entropy: 0.0230
Epoch 191/200 - Cross-entropy: 0.0228
Epoch 192/200 - Cross-entropy: 0.0226
Epoch 193/200 - Cross-entropy: 0.0224
Epoch 194/200 - Cross-entropy: 0.0223
Epoch 195/200 - Cross-entropy: 0.0221
Epoch 196/200 - Cross-entropy: 0.0219
Epoch 197/200 - Cross-entropy: 0.0218
Epoch 198/200 - Cross-entropy: 0.0216
Epoch 199/200 - Cross-entropy: 0.0215
Epoch 200/200 - Cross-entropy: 0.0213

[Training DNN2 (random init) with backprop]
Epoch 1/200 - Cross-entropy: 2.3129
Epoch 2/200 - Cross-entropy: 2.3095
Epoch 3/200 - Cross-entropy: 2.3057
Epoch 4/200 - Cross-entropy: 2.3018
Epoch 5/200 - Cross-entropy: 2.1488
Epoch 6/200 - Cross-entropy: 1.3879
Epoch 7/200 - Cross-entropy: 0.9831
Epoch 8/200 - Cross-entropy: 0.7669
Epoch 9/200 - Cross-entropy: 0.6977
Epoch 10/200 - Cross-entropy: 0.6200
Epoch 11/200 - Cross-entropy: 0.5585
Epoch 12/200 - Cross-entropy: 0.5112
Epoch 13/200 - Cross-entropy: 0.4775
Epoch 14/200 - Cross-entropy: 0.4468
Epoch 15/200 - Cross-entropy: 0.4093
Epoch 16/200 - Cross-entropy: 0.3788
Epoch 17/200 - Cross-entropy: 0.3566
Epoch 18/200 - Cross-entropy: 0.3363
Epoch 19/200 - Cross-entropy: 0.3209
Epoch 20/200 - Cross-entropy: 0.3058
Epoch 21/200 - Cross-entropy: 0.2913
Epoch 22/200 - Cross-entropy: 0.2807
Epoch 23/200 - Cross-entropy: 0.2681
Epoch 24/200 - Cross-entropy: 0.2550
Epoch 25/200 - Cross-entropy: 0.2435
Epoch 26/200 - Cross-entropy: 0.2320
Epoch 27/200 - Cross-entropy: 0.2284
Epoch 28/200 - Cross-entropy: 0.2178
Epoch 29/200 - Cross-entropy: 0.2085
Epoch 30/200 - Cross-entropy: 0.2003
Epoch 31/200 - Cross-entropy: 0.1954
Epoch 32/200 - Cross-entropy: 0.1830
Epoch 33/200 - Cross-entropy: 0.1771
Epoch 34/200 - Cross-entropy: 0.1723
Epoch 35/200 - Cross-entropy: 0.1653
Epoch 36/200 - Cross-entropy: 0.1609
Epoch 37/200 - Cross-entropy: 0.1550
Epoch 38/200 - Cross-entropy: 0.1503
Epoch 39/200 - Cross-entropy: 0.1457
Epoch 40/200 - Cross-entropy: 0.1409
Epoch 41/200 - Cross-entropy: 0.1367
Epoch 42/200 - Cross-entropy: 0.1318
Epoch 43/200 - Cross-entropy: 0.1290
Epoch 44/200 - Cross-entropy: 0.1241
Epoch 45/200 - Cross-entropy: 0.1227
Epoch 46/200 - Cross-entropy: 0.1183
Epoch 47/200 - Cross-entropy: 0.1175
Epoch 48/200 - Cross-entropy: 0.1120
Epoch 49/200 - Cross-entropy: 0.1101
Epoch 50/200 - Cross-entropy: 0.1113
Epoch 51/200 - Cross-entropy: 0.1026
Epoch 52/200 - Cross-entropy: 0.1024
Epoch 53/200 - Cross-entropy: 0.0984
Epoch 54/200 - Cross-entropy: 0.0957
Epoch 55/200 - Cross-entropy: 0.0931
Epoch 56/200 - Cross-entropy: 0.0919
Epoch 57/200 - Cross-entropy: 0.0882
Epoch 58/200 - Cross-entropy: 0.0897
Epoch 59/200 - Cross-entropy: 0.0837
Epoch 60/200 - Cross-entropy: 0.0826
Epoch 61/200 - Cross-entropy: 0.0812
Epoch 62/200 - Cross-entropy: 0.0797
Epoch 63/200 - Cross-entropy: 0.0784
Epoch 64/200 - Cross-entropy: 0.0767
Epoch 65/200 - Cross-entropy: 0.0725
Epoch 66/200 - Cross-entropy: 0.0719
Epoch 67/200 - Cross-entropy: 0.0693
Epoch 68/200 - Cross-entropy: 0.0683
Epoch 69/200 - Cross-entropy: 0.0664
Epoch 70/200 - Cross-entropy: 0.0645
Epoch 71/200 - Cross-entropy: 0.0640
Epoch 72/200 - Cross-entropy: 0.0627
Epoch 73/200 - Cross-entropy: 0.0612
Epoch 74/200 - Cross-entropy: 0.0589
Epoch 75/200 - Cross-entropy: 0.0584
Epoch 76/200 - Cross-entropy: 0.0584
Epoch 77/200 - Cross-entropy: 0.0564
Epoch 78/200 - Cross-entropy: 0.0548
Epoch 79/200 - Cross-entropy: 0.0540
Epoch 80/200 - Cross-entropy: 0.0529
Epoch 81/200 - Cross-entropy: 0.0507
Epoch 82/200 - Cross-entropy: 0.0501
Epoch 83/200 - Cross-entropy: 0.0493
Epoch 84/200 - Cross-entropy: 0.0474
Epoch 85/200 - Cross-entropy: 0.0462
Epoch 86/200 - Cross-entropy: 0.0456
Epoch 87/200 - Cross-entropy: 0.0446
Epoch 88/200 - Cross-entropy: 0.0435
Epoch 89/200 - Cross-entropy: 0.0422
Epoch 90/200 - Cross-entropy: 0.0417
Epoch 91/200 - Cross-entropy: 0.0412
Epoch 92/200 - Cross-entropy: 0.0398
Epoch 93/200 - Cross-entropy: 0.0390
Epoch 94/200 - Cross-entropy: 0.0379
Epoch 95/200 - Cross-entropy: 0.0373
Epoch 96/200 - Cross-entropy: 0.0360
Epoch 97/200 - Cross-entropy: 0.0352
Epoch 98/200 - Cross-entropy: 0.0350
Epoch 99/200 - Cross-entropy: 0.0337
Epoch 100/200 - Cross-entropy: 0.0336
Epoch 101/200 - Cross-entropy: 0.0330
Epoch 102/200 - Cross-entropy: 0.0315
Epoch 103/200 - Cross-entropy: 0.0310
Epoch 104/200 - Cross-entropy: 0.0311
Epoch 105/200 - Cross-entropy: 0.0298
Epoch 106/200 - Cross-entropy: 0.0289
Epoch 107/200 - Cross-entropy: 0.0292
Epoch 108/200 - Cross-entropy: 0.0287
Epoch 109/200 - Cross-entropy: 0.0276
Epoch 110/200 - Cross-entropy: 0.0268
Epoch 111/200 - Cross-entropy: 0.0262
Epoch 112/200 - Cross-entropy: 0.0257
Epoch 113/200 - Cross-entropy: 0.0250
Epoch 114/200 - Cross-entropy: 0.0247
Epoch 115/200 - Cross-entropy: 0.0252
Epoch 116/200 - Cross-entropy: 0.0232
Epoch 117/200 - Cross-entropy: 0.0232
